,CustomerID,Education,Occupation,Gender,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer
53,11061,Partial College,Skilled Manual,M,2,0,2,110712,84,1
54,11062,High School,Skilled Manual,M,2,0,0,52145,71,0
55,11063,High School,Skilled Manual,F,2,0,0,49609,40,0
56,11064,High School,Skilled Manual,M,2,0,0,58306,76,0
57,11065,Partial College,Skilled Manual,F,2,0,0,73388,48,1
58,11066,Partial College,Professional,F,2,0,0,61686,50,0
59,11067,Partial College,Professional,M,2,0,0,96049,70,1
60,11070,High School,Skilled Manual,M,2,0,2,109883,87,0
61,11071,High School,Skilled Manual,F,2,0,2,106718,51,0
62,11072,High School,Skilled Manual,F,2,0,2,97646,52,0
63,11073,High School,Skilled Manual,F,2,0,2,58916,51,0
64,11074,High School,Skilled Manual,M,2,0,2,93934,74,0
65,11075,High School,Professional,F,2,0,2,99137,51,0
66,11076,High School,Professional,M,2,0,2,112044,73,0
67,11077,High School,Professional,F,2,0,2,108728,55,0
68,11078,High School,Professional,F,2,0,0,49084,48,1
69,11079,Graduate Degree,Management,M,2,0,0,172444,87,0
70,11080,Graduate Degree,Management,M,2,0,0,181590,92,1
71,11081,Bachelors ,Management,F,3,2,2,148109,76,0
72,11082,Graduate Degree,Management,F,3,1,1,149717,62,1
73,11083,Graduate Degree,Management,F,3,1,1,163913,68,1
74,11085,High School,Professional,F,2,0,2,66900,47,0
75,11086,Partial College,Professional,M,0,1,2,97834,98,0
76,11088,Bachelors ,Management,M,0,1,2,129910,104,0
77,11089,Bachelors ,Management,F,1,1,2,91729,57,1
78,11090,Partial College,Professional,M,1,0,2,113883,76,0
79,11091,Partial College,Professional,M,1,0,2,112820,82,0
80,11093,Graduate Degree,Management,F,0,0,0,106839,58,0
81,11094,Partial College,Skilled Manual,M,1,0,1,88887,78,1
82,11095,Partial College,Skilled Manual,M,1,0,1,108740,77,0
83,11096,Bachelors ,Professional,M,1,0,1,106971,87,1
84,11097,Partial College,Skilled Manual,M,1,0,1,98519,80,0
85,11098,Partial College,Skilled Manual,F,1,0,1,82707,54,0
86,11099,Bachelors ,Professional,M,1,0,1,103866,83,1
87,11100,Partial College,Skilled Manual,F,1,0,1,66520,46,0
88,11101,Bachelors ,Professional,F,1,0,0,75270,47,1
89,11102,Bachelors ,Professional,F,4,5,5,95167,89,1
90,11103,Bachelors ,Professional,F,1,0,0,85087,49,0
91,11104,Bachelors ,Professional,M,1,0,0,102445,85,0
92,11105,Bachelors ,Professional,F,1,0,0,88445,52,0
93,11106,Bachelors ,Professional,M,1,0,0,97782,74,1
94,11107,Bachelors ,Professional,F,1,0,1,117317,54,1
95,11109,Bachelors ,Professional,M,2,0,0,106891,79,1
96,11110,Partial College,Skilled Manual,M,1,0,1,77012,74,1
97,11111,Partial College,Skilled Manual,F,1,0,1,62702,56,1
98,11112,Partial College,Skilled Manual,F,1,0,1,73151,51,0
99,11113,Bachelors ,Professional,M,2,4,5,104220,142,1
101,11115,Partial College,Skilled Manual,M,2,4,5,93330,141,1
102,11116,Partial College,Skilled Manual,M,2,4,5,86770,140,1
103,11117,Partial College,Skilled Manual,F,3,4,5,73276,84,1
104,11119,Partial College,Clerical,M,2,0,2,51078,58,0
105,11120,Bachelors ,Management,F,1,0,2,52280,37,0
106,11122,Partial College,Skilled Manual,M,3,4,5,88615,143,0
107,11123,Partial College,Skilled Manual,M,3,4,5,102114,140,1
108,11124,Partial College,Skilled Manual,M,1,0,1,106875,80,1
109,11125,Partial College,Skilled Manual,F,1,0,1,65730,46,0
110,11126,High School,Skilled Manual,M,2,1,2,32857,75,0
111,11127,High School,Skilled Manual,F,1,0,0,46078,46,0
112,11129,High School,Skilled Manual,F,1,0,0,32122,37,0
113,11130,High School,Skilled Manual,F,2,0,0,34879,48,0
114,11131,High School,Skilled Manual,F,2,0,0,39266,44,0
115,11132,High School,Skilled Manual,F,2,0,0,44139,40,0
116,11133,Partial High School,Clerical,F,2,0,0,37010,34,0
117,11134,High School,Skilled Manual,M,2,0,5,26209,64,1
118,11135,Partial High School,Clerical,M,2,0,0,64613,63,0
119,11136,High School,Skilled Manual,F,2,0,0,38527,46,0
120,11137,High School,Skilled Manual,F,2,0,0,42811,47,0
121,11138,High School,Skilled Manual,F,2,0,0,48772,45,0
122,11139,Partial College,Clerical,F,2,0,2,27610,39,0
123,11140,Partial High School,Clerical,M,2,0,0,64633,69,0
124,11141,High School,Skilled Manual,F,2,0,0,32916,43,0
125,11142,High School,Skilled Manual,M,2,0,0,63488,73,1
127,11144,High School,Skilled Manual,M,2,0,0,54938,64,0
128,11145,High School,Skilled Manual,F,2,0,0,29691,37,0
129,11146,Bachelors ,Management,F,2,0,2,66934,47,0
130,11147,Graduate Degree,Management,M,1,0,2,124211,78,0
131,11148,Bachelors ,Management,M,2,0,2,63251,67,0
132,11149,Bachelors ,Management,M,2,0,2,82448,71,0
133,11150,Bachelors ,Management,M,2,0,2,77855,69,0
134,11151,Graduate Degree,Management,F,1,0,2,94385,46,0
135,11152,High School,Skilled Manual,M,2,0,0,62553,72,1
136,11153,High School,Skilled Manual,F,2,0,0,37229,42,0
137,11154,Partial College,Skilled Manual,F,1,0,0,33375,38,0
138,11155,Partial College,Skilled Manual,M,1,0,0,60713,68,1
139,11157,High School,Skilled Manual,F,2,0,0,45639,50,0
140,11158,High School,Skilled Manual,M,2,0,0,57274,65,0
141,11159,High School,Skilled Manual,F,2,0,0,32033,40,0
142,11160,Partial College,Skilled Manual,M,1,0,0,54434,69,0
143,11161,Partial College,Skilled Manual,F,1,0,0,46024,44,1
144,11163,Partial College,Skilled Manual,M,1,0,0,56829,66,0
145,11164,Partial College,Skilled Manual,M,1,0,0,48946,64,1
146,11165,Partial College,Skilled Manual,F,1,0,0,89154,52,0
147,11166,Partial College,Skilled Manual,F,2,0,0,70041,46,1
148,11169,Bachelors ,Management,M,1,4,4,116323,141,1
149,11170,Bachelors ,Management,F,1,4,4,104668,91,1
150,11171,Bachelors ,Management,M,2,0,1,128776,80,1
152,11173,Graduate Degree,Management,F,4,0,0,151318,51,0
153,11174,Graduate Degree,Management,M,0,1,1,183231,109,1
154,11175,Partial College,Skilled Manual,M,2,0,0,98032,70,1
155,11176,Bachelors ,Management,M,1,4,4,140875,148,1
156,11177,Graduate Degree,Management,M,2,4,4,185657,144,1
157,11179,Graduate Degree,Management,F,3,4,4,141844,91,0
158,11180,Bachelors ,Management,F,4,3,3,145176,73,1
159,11181,Graduate Degree,Management,M,2,3,3,184504,126,0
160,11182,Bachelors ,Management,F,2,0,4,80891,39,0
161,11183,Bachelors ,Management,F,2,0,4,90366,51,1
162,11184,Bachelors ,Management,F,2,0,4,91037,42,0
163,11185,Bachelors ,Management,F,2,0,4,83404,48,0
164,11186,Bachelors ,Management,F,2,0,4,79819,46,0
165,11187,Graduate Degree,Management,F,2,0,4,85829,49,0
166,11188,Graduate Degree,Management,F,2,0,4,104279,52,0
167,11189,Graduate Degree,Management,M,2,0,4,121950,75,0
168,11190,Bachelors ,Management,M,2,0,5,95877,77,0
169,11191,Bachelors ,Management,F,3,0,5,80055,47,0
170,11192,Bachelors ,Management,M,2,0,4,112289,79,0
171,11193,Bachelors ,Management,M,2,0,4,111071,73,0
172,11194,Bachelors ,Management,F,2,0,4,89692,51,0
173,11195,Bachelors ,Management,F,3,0,5,86347,52,0
174,11196,Bachelors ,Management,M,3,0,5,96935,75,0
175,11197,Bachelors ,Management,F,1,1,3,86749,57,1
176,11198,Bachelors ,Management,F,1,1,4,84010,54,0
177,11199,Bachelors ,Management,F,1,1,4,81296,59,0
178,11200,Bachelors ,Management,M,1,1,4,101131,96,1
179,11201,Bachelors ,Management,F,1,1,4,83256,57,0
180,11202,Bachelors ,Management,F,2,0,5,96418,55,0
181,11203,High School,Professional,M,2,1,2,55404,83,0
182,11204,High School,Professional,F,2,1,2,50201,53,0
183,11205,High School,Professional,F,2,1,2,52116,53,0
184,11206,Partial College,Professional,M,1,1,2,96883,94,0
185,11208,Bachelors ,Management,F,0,1,2,81421,54,1
186,11209,Bachelors ,Management,F,0,1,2,73189,57,1
188,11211,High School,Professional,F,2,1,2,50320,53,1
189,11212,High School,Professional,F,2,1,2,48200,53,0
190,11213,Partial College,Professional,F,2,1,2,69431,51,0
191,11214,Partial College,Professional,M,2,1,2,91233,84,0
192,11216,Partial College,Professional,F,2,1,2,79388,53,0
193,11217,Partial College,Professional,F,2,1,2,81490,55,1
195,11219,High School,Professional,M,2,1,2,88557,92,0
196,11220,Partial College,Professional,F,1,1,2,98934,57,0
197,11221,Partial College,Professional,M,1,2,4,107014,110,0
198,11222,Bachelors ,Management,F,1,1,3,97838,65,0
199,11223,High School,Professional,F,2,1,2,93756,60,1
200,11224,High School,Professional,F,2,1,2,58807,52,0
201,11225,Partial College,Professional,F,1,1,2,75300,53,0
202,11226,Partial College,Professional,F,1,1,2,69781,59,0
203,11227,Partial College,Professional,M,2,1,2,107126,92,1
204,11228,Partial College,Professional,F,2,1,2,83120,63,1
205,11229,Partial College,Professional,M,1,2,4,79403,96,0
206,11230,Partial College,Professional,F,2,2,4,82373,68,0
207,11231,High School,Professional,M,2,1,2,82678,89,0
208,11232,High School,Professional,F,2,1,3,89815,58,1
209,11233,Partial College,Professional,M,2,2,4,95975,108,0
210,11234,Partial College,Professional,F,2,2,4,81567,58,1
211,11235,Partial College,Professional,M,2,2,4,97258,109,0
212,11236,Partial College,Professional,M,2,2,5,104005,107,1
213,11237,Bachelors ,Management,M,4,3,3,164291,126,1
214,11238,Bachelors ,Management,F,4,3,3,138418,80,1
215,11239,Partial College,Professional,F,2,4,4,123475,98,0
216,11240,Partial College,Professional,F,4,3,3,136555,88,1
217,11241,Partial College,Professional,F,4,3,3,114730,80,1
218,11242,Partial College,Professional,M,3,4,4,160265,153,1
219,11243,Partial College,Professional,F,3,3,3,131035,89,0
220,11244,Bachelors ,Management,F,3,3,3,139552,81,1
221,11245,High School,Professional,M,4,4,4,154573,147,1
222,11246,High School,Professional,F,4,4,4,136970,99,0
223,11248,Partial College,Professional,M,4,4,4,165394,157,1
224,11249,Partial College,Professional,F,3,4,4,128534,94,1
225,11250,High School,Professional,F,2,4,4,140179,98,0
226,11251,High School,Professional,M,2,0,4,50003,55,0
227,11252,Graduate Degree,Management,M,1,0,3,139004,71,0
228,11253,Graduate Degree,Management,M,2,0,2,127974,72,0
229,11254,Graduate Degree,Management,M,2,0,4,101550,71,0
230,11256,Graduate Degree,Management,F,2,0,4,88902,44,0
231,11257,Graduate Degree,Management,F,4,2,2,146565,59,0
232,11259,Partial College,Professional,F,4,1,4,96421,65,0
233,11260,Bachelors ,Management,F,3,2,2,127739,80,1
234,11261,Graduate Degree,Management,F,1,2,2,154474,79,0
235,11262,Bachelors ,Management,F,0,3,4,97283,89,0
236,11263,Partial College,Professional,F,3,5,5,104042,99,0
237,11264,Partial College,Professional,M,3,5,5,122978,154,1
238,11265,Partial College,Professional,F,3,5,5,91607,98,1
239,11266,Partial College,Professional,F,1,0,0,98748,51,0
240,11267,Partial College,Professional,M,4,2,4,169568,115,1
241,11268,Graduate Degree,Management,F,2,2,2,145275,80,0
242,11269,Graduate Degree,Management,M,2,2,2,173834,119,1
243,11270,Graduate Degree,Management,M,3,2,2,180861,119,1
244,11271,Bachelors ,Management,F,4,0,2,141306,53,1
245,11272,Partial College,Professional,F,0,3,4,72083,73,1
246,11273,Partial College,Professional,M,0,1,2,116585,105,0
247,11274,Graduate Degree,Management,M,2,0,2,75549,61,0
248,11275,Graduate Degree,Management,F,2,0,4,112925,48,0
249,11276,Partial College,Professional,F,2,3,4,102901,86,1
250,11277,Partial College,Professional,M,2,3,4,125463,134,1
252,11279,Partial College,Professional,F,1,0,0,86138,52,0
253,11280,Partial College,Professional,M,1,0,0,125485,92,1
254,11281,Bachelors ,Management,F,4,2,4,127801,74,1
255,11282,Partial College,Professional,M,4,4,5,105527,146,1
256,11283,Bachelors ,Management,M,2,3,3,155993,136,1
258,11286,Graduate Degree,Management,M,4,0,0,169863,93,0
259,11287,Partial College,Professional,M,3,4,5,97392,140,1
260,11289,Bachelors ,Management,F,1,3,3,123794,85,1
261,11290,Bachelors ,Management,F,3,3,3,145642,88,1
262,11291,Bachelors ,Management,F,3,3,3,130738,89,0
263,11292,Partial College,Professional,M,3,2,2,150167,112,1
264,11293,High School,Professional,M,2,0,2,96447,71,1
265,11294,High School,Professional,M,2,0,2,92889,84,0
266,11295,Partial High School,Skilled Manual,F,2,0,2,89097,47,1
267,11296,Graduate Degree,Management,F,2,0,2,82760,47,0
268,11297,Graduate Degree,Management,M,2,0,4,109129,68,0
269,11298,Graduate Degree,Management,M,2,0,4,112116,73,0
270,11299,Graduate Degree,Management,M,2,0,4,117520,72,0
271,11300,Partial College,Professional,M,3,4,5,122139,152,1
272,11301,Partial College,Professional,M,4,4,5,127971,145,1
273,11302,High School,Professional,M,3,3,4,121401,120,1
274,11303,High School,Professional,F,3,3,4,106090,75,1
275,11304,Partial College,Professional,F,0,3,3,95526,83,0
276,11305,Partial College,Professional,M,4,3,3,156297,137,0
277,11306,Partial College,Professional,M,4,3,3,171700,142,1
278,11307,Partial High School,Skilled Manual,M,2,0,2,114324,88,0
279,11308,High School,Professional,M,2,0,2,82817,75,0
280,11309,High School,Professional,F,2,0,2,72518,46,0
281,11310,Graduate Degree,Management,F,2,0,3,103232,51,1
282,11311,Graduate Degree,Management,F,2,0,3,88666,46,0
283,11312,Graduate Degree,Management,F,2,0,3,91177,51,0
284,11313,Graduate Degree,Management,M,2,0,3,101674,79,0
285,11314,Graduate Degree,Management,F,2,0,3,92491,51,1
286,11315,Graduate Degree,Management,F,2,0,3,100009,53,1
287,11316,Graduate Degree,Management,M,2,0,3,122242,83,0
288,11317,Partial College,Professional,F,2,0,3,45387,42,0
289,11318,Partial College,Professional,F,2,0,3,63473,47,0
290,11319,Graduate Degree,Management,F,2,0,4,99881,47,0
291,11320,Graduate Degree,Management,F,2,0,4,140771,50,0
292,11321,Bachelors ,Management,M,2,0,5,126955,76,0
293,11322,Bachelors ,Management,F,2,0,5,110304,52,0
294,11324,Bachelors ,Management,M,2,0,5,131143,78,0
295,11325,Bachelors ,Management,M,2,0,5,128035,72,0
296,11326,Bachelors ,Management,M,4,3,3,167552,117,1
298,11329,Bachelors ,Management,M,2,0,5,146838,71,0
299,11330,Graduate Degree,Management,M,1,4,4,184290,140,0
300,11333,Graduate Degree,Clerical,F,0,0,1,36399,51,0
301,11334,Bachelors ,Manual,F,0,0,1,26675,43,0
302,11335,Bachelors ,Manual,F,0,0,1,27831,42,0
303,11336,Graduate Degree,Clerical,M,0,0,1,58842,76,1
304,11337,Bachelors ,Manual,M,0,0,1,28641,69,0
305,11338,Graduate Degree,Clerical,M,0,0,1,58637,76,1
306,11339,Graduate Degree,Clerical,M,0,0,1,45259,65,0
307,11340,Graduate Degree,Clerical,F,0,0,1,28969,36,0
308,11341,Graduate Degree,Clerical,M,0,0,1,46868,61,0
309,11342,Graduate Degree,Clerical,M,0,0,5,72684,80,1
310,11343,Bachelors ,Manual,M,0,0,1,23353,63,0
311,11344,Partial College,Manual,F,0,0,1,30760,43,0
312,11345,Partial College,Manual,F,0,0,1,16168,33,0
313,11346,Partial College,Manual,F,1,0,2,27856,40,0
314,11347,Partial College,Manual,M,1,0,2,23130,61,0
315,11348,Partial College,Manual,M,1,0,2,34162,68,0
316,11349,Partial College,Manual,F,1,0,2,21535,37,0
317,11350,Graduate Degree,Clerical,F,0,0,1,62977,42,0
318,11351,Bachelors ,Clerical,F,0,0,1,25937,38,0
319,11352,Partial College,Manual,M,1,0,2,14242,58,0
320,11353,Bachelors ,Clerical,F,0,0,1,52894,41,0
321,11354,Partial College,Manual,F,0,0,1,13044,37,0
322,11355,Graduate Degree,Clerical,M,0,0,1,72297,75,0
323,11357,Partial College,Manual,M,1,0,0,14342,55,0
324,11358,Partial College,Manual,F,1,0,0,31655,42,0
325,11359,Partial College,Manual,M,1,0,0,18161,53,0
326,11360,Partial College,Manual,M,1,0,0,22747,57,0
327,11361,High School,Manual,F,2,0,0,11376,39,0
328,11362,High School,Manual,M,2,0,0,20222,60,0
329,11363,High School,Manual,M,2,0,0,25274,56,0
330,11364,High School,Manual,F,0,1,1,13853,47,1
331,11365,High School,Manual,F,0,1,1,19497,51,1
332,11366,Bachelors ,Clerical,F,0,0,0,22319,38,0
333,11367,Bachelors ,Clerical,M,0,0,0,41970,62,0
334,11368,High School,Manual,M,0,1,1,27256,73,0
335,11369,Bachelors ,Clerical,F,0,0,0,29302,44,0
336,11370,Bachelors ,Clerical,F,0,0,0,25568,37,0
337,11371,Bachelors ,Clerical,F,0,0,0,26344,41,0
338,11372,Bachelors ,Clerical,F,0,0,0,35279,47,0
339,11374,Bachelors ,Clerical,M,0,0,1,74697,69,1
340,11375,Bachelors ,Clerical,M,0,0,1,47277,68,0
341,11376,Graduate Degree,Clerical,M,0,0,1,65086,68,0
342,11378,High School,Manual,F,1,1,1,28411,48,0
343,11379,High School,Manual,M,1,1,1,16401,76,0
344,11380,Partial College,Manual,M,1,0,2,30357,64,0
345,11381,Partial College,Manual,F,1,0,2,11073,41,0
346,11382,Partial College,Manual,M,1,0,2,18715,62,0
347,11383,Graduate Degree,Clerical,F,0,0,3,59143,53,0
348,11384,Bachelors ,Clerical,F,0,0,3,55550,55,0
349,11385,Bachelors ,Clerical,M,0,0,3,55029,67,0
350,11386,Bachelors ,Clerical,F,0,0,3,42241,49,0
351,11387,Graduate Degree,Clerical,F,0,0,3,69335,40,1
352,11388,Graduate Degree,Clerical,M,0,0,3,76084,76,1
353,11389,High School,Manual,M,1,1,1,18210,66,0
354,11390,High School,Manual,F,1,1,1,22252,50,0
355,11391,High School,Manual,F,0,2,2,20896,54,1
356,11392,High School,Manual,M,0,2,2,19837,78,1
357,11393,High School,Manual,M,0,2,2,18666,79,0
358,11396,High School,Manual,M,1,2,2,16243,87,0
359,11398,Bachelors ,Clerical,M,0,0,0,66885,73,0
360,11399,Bachelors ,Clerical,F,0,0,1,58624,47,0
361,11400,Graduate Degree,Clerical,M,0,0,0,74702,65,0
362,11401,Graduate Degree,Clerical,F,0,0,0,65127,51,0
363,11402,Graduate Degree,Clerical,F,0,0,0,65243,52,0
364,11403,Graduate Degree,Clerical,F,0,0,0,52357,46,1
365,11404,Partial College,Manual,F,2,0,3,17764,39,0
366,11405,Partial College,Manual,F,2,0,3,23009,42,0
367,11406,Partial College,Manual,F,1,0,2,32283,42,0
368,11407,Partial College,Manual,M,1,0,2,46377,71,0
369,11408,High School,Manual,M,2,1,2,25070,78,0
370,11409,High School,Manual,F,1,2,2,24171,55,0
371,11410,Partial College,Manual,M,0,1,1,19553,77,0
372,11411,Partial College,Professional,M,1,2,3,118844,111,1
373,11412,Partial College,Professional,F,1,2,4,97749,68,1
374,11413,Partial College,Professional,F,1,2,4,106318,76,1
375,11414,Partial College,Professional,M,1,2,4,122977,105,1
376,11415,Partial College,Professional,M,2,0,5,133666,73,0
377,11416,Partial High School,Skilled Manual,F,4,1,3,68671,56,0
378,11417,High School,Professional,F,2,1,5,66944,57,0
379,11418,Partial College,Professional,M,2,0,5,124183,72,0
380,11419,Graduate Degree,Management,M,4,4,4,173468,147,1
381,11420,Bachelors ,Management,M,4,3,3,126123,122,0
382,11421,Bachelors ,Management,F,4,4,4,119995,86,0
383,11422,Bachelors ,Management,M,3,4,4,178271,153,1
384,11423,Partial College,Professional,F,1,2,4,96153,73,0
385,11424,Partial College,Professional,F,2,2,4,97870,79,0
386,11425,High School,Professional,F,2,2,4,95006,73,1
387,11426,Bachelors ,Management,M,4,4,4,167289,157,1
388,11427,Partial College,Professional,F,2,5,5,135157,104,1
389,11428,Bachelors ,Management,F,2,5,5,141365,103,1
391,11431,Partial College,Professional,M,2,5,5,155272,169,1
392,11432,High School,Professional,F,2,2,4,110522,71,0
393,11433,High School,Professional,M,2,2,5,117813,114,0
394,11434,Partial College,Professional,M,4,5,5,157571,160,1
395,11435,Partial College,Management,F,4,4,4,103125,76,1
396,11436,Partial College,Management,F,4,5,5,129459,102,1
397,11437,High School,Management,M,3,1,4,115406,97,0
398,11438,High School,Management,F,4,5,5,124748,101,0
399,11439,High School,Management,F,3,1,4,101472,64,0
400,11440,Partial High School,Skilled Manual,M,2,0,5,129124,80,0
401,11441,Partial High School,Skilled Manual,F,2,0,5,86128,52,0
403,11443,Bachelors ,Professional,F,4,0,0,90092,49,0
404,11444,Bachelors ,Professional,F,3,0,0,82396,55,0
405,11445,Bachelors ,Professional,F,3,0,0,93232,49,0
406,11446,Bachelors ,Professional,F,3,0,0,75369,47,0
407,11447,Bachelors ,Professional,F,4,0,0,84894,56,0
408,11448,Bachelors ,Professional,M,3,0,0,125223,83,0
409,11449,Bachelors ,Professional,M,3,0,0,123087,77,1
410,11450,High School,Management,M,4,5,5,168818,150,1
411,11451,Bachelors ,Professional,M,4,0,0,101221,79,1
412,11452,Bachelors ,Professional,F,3,0,0,105179,50,1
413,11453,Bachelors ,Professional,M,3,0,0,128332,80,1
414,11454,Bachelors ,Professional,F,3,0,0,96679,50,1
415,11455,High School,Management,M,2,5,5,119933,158,0
416,11456,Partial High School,Professional,M,4,5,5,148624,165,0
417,11458,High School,Management,F,2,5,5,96708,100,0
418,11459,Bachelors ,Professional,F,3,0,0,116530,56,1
419,11460,Bachelors ,Professional,M,3,0,0,131594,78,0
420,11461,Bachelors ,Professional,M,3,0,0,129368,81,0
421,11462,High School,Management,F,4,5,5,130446,99,0
422,11463,High School,Management,F,4,5,5,128326,104,1
423,11464,Bachelors ,Professional,M,4,0,0,130431,90,0
424,11465,Bachelors ,Professional,M,4,0,0,121455,86,1
425,11466,Partial High School,Management,M,4,5,5,161354,166,1
426,11467,Graduate Degree,Management,M,4,5,5,184160,173,1
427,11468,Bachelors ,Skilled Manual,F,0,1,1,53712,56,0
428,11469,Partial High School,Manual,M,2,0,0,16778,52,0
429,11470,Partial High School,Manual,M,2,0,0,22461,58,1
430,11471,Partial College,Clerical,F,1,0,0,55730,48,0
431,11472,Bachelors ,Professional,M,2,2,3,95063,102,1
432,11473,Partial High School,Manual,F,2,0,0,20203,34,0
433,11474,Partial High School,Manual,M,2,0,0,19807,53,0
434,11475,High School,Manual,M,1,0,0,62398,63,1
435,11476,Bachelors ,Skilled Manual,F,0,1,1,57543,57,0
436,11477,High School,Manual,M,1,0,0,55135,68,0
437,11478,High School,Manual,M,1,0,0,37430,61,0
438,11479,Bachelors ,Skilled Manual,M,0,1,1,54411,80,0
439,11480,Bachelors ,Skilled Manual,F,0,1,1,50264,57,1
440,11481,Bachelors ,Skilled Manual,F,0,1,1,46077,56,1
441,11482,High School,Manual,F,1,0,0,48362,45,0
442,11483,Bachelors ,Skilled Manual,M,1,1,1,49033,85,0
443,11484,Partial College,Clerical,M,0,2,2,64690,95,1
444,11485,Partial College,Clerical,M,0,2,2,46450,96,0
446,11487,Partial High School,Manual,F,2,0,0,11294,37,0
447,11488,Partial High School,Manual,M,2,0,0,20671,64,1
448,11489,Partial High School,Manual,F,2,0,0,12493,37,0
449,11490,Partial High School,Manual,M,2,0,0,19957,61,0
450,11491,Partial High School,Manual,M,2,0,0,19114,65,0
451,11492,High School,Manual,M,1,0,0,44555,64,0
452,11493,Partial College,Clerical,F,0,2,2,59609,63,0
453,11495,Partial College,Clerical,M,1,2,2,52156,91,1
454,11496,Partial College,Clerical,M,2,2,2,56036,83,1
455,11497,Partial College,Clerical,F,2,2,2,55863,61,0
456,11498,Partial College,Clerical,M,2,3,3,51689,104,1
457,11499,Partial College,Clerical,M,2,3,3,54209,102,1
458,11500,Graduate Degree,Skilled Manual,F,0,0,0,67375,45,1
459,11501,Partial College,Clerical,F,2,3,3,38001,60,1
460,11503,Graduate Degree,Skilled Manual,M,0,0,1,66443,56,0
461,11504,Bachelors ,Skilled Manual,F,1,0,1,58099,41,0
462,11505,Graduate Degree,Skilled Manual,F,0,0,0,78323,41,1
463,11506,Graduate Degree,Skilled Manual,M,0,0,0,97574,76,1
464,11507,Graduate Degree,Skilled Manual,F,0,0,0,88622,53,1
465,11508,Graduate Degree,Skilled Manual,F,0,0,0,79075,49,1
466,11509,Bachelors ,Skilled Manual,F,1,0,1,50793,45,0
467,11510,Bachelors ,Skilled Manual,M,1,0,1,64915,76,0
468,11512,Partial High School,Manual,F,2,0,3,22047,40,0
